iter	Passed	Remaining
412	3076	4372
413	3083	4364
414	3089	4355
415	3096	4346
416	3103	4339
417	3110	4330
418	3117	4322
419	3123	4313
420	3129	4304
421	3136	4295
422	3142	4286
423	3149	4277
424	3155	4268
425	3161	4259
426	3168	4251
427	3174	4242
428	3181	4234
429	3188	4226
430	3194	4217
431	3201	4209
432	3208	4201
433	3216	4194
434	3222	4185
435	3228	4176
436	3235	4168
437	3241	4159
438	3248	4151
439	3255	4142
440	3261	4134
441	3268	4126
442	3274	4117
443	3281	4109
444	3287	4100
445	3294	4092
446	3301	4083
447	3307	4075
448	3313	4066
449	3320	4058
450	3327	4049
451	3333	4041
452	3340	4033
453	3347	4025
454	3353	4016
455	3360	4008
456	3366	4000
457	3373	3991
458	3379	3983
459	3386	3975
460	3393	3967
461	3400	3959
462	3406	3951
463	3413	3943
464	3420	3935
465	3427	3927
466	3433	3918
467	3440	3910
468	3447	3902
469	3453	3894
470	3460	3886
471	3467	3878
472	3473	3870
473	3480	3862
474	3487	3854
475	3494	3846
476	3501	3839
477	3507	3830
478	3515	3823
479	3521	3814
480	3528	3807
481	3534	3798
482	3542	3791
483	3549	3783
484	3555	3775
485	3562	3767
486	3568	3759
487	3575	3751
488	3582	3743
489	3588	3734
490	3595	3727
491	3601	3719
492	3609	3711
493	3616	3704
494	3622	3695
495	3629	3688
496	3636	3679
497	3644	3673
498	3650	3665
499	3657	3657
500	3663	3649
501	3669	3640
502	3677	3633
503	3683	3625
504	3690	3617
505	3696	3609
506	3703	3600
507	3710	3593
508	3716	3585
509	3723	3577
510	3729	3569
511	3736	3561
512	3742	3553
513	3750	3546
514	3757	3538
515	3764	3530
516	3770	3522
517	3777	3514
518	3783	3506
519	3790	3498
520	3796	3490
521	3803	3482
522	3810	3475
523	3816	3467
524	3823	3459
525	3829	3451
526	3836	3443
527	3843	3435
528	3849	3427
529	3856	3419
530	3862	3411
531	3869	3403
532	3876	3396
533	3882	3388
534	3889	3380
535	3895	3372
536	3902	3364
537	3909	3356
538	3915	3348
539	3922	3341
540	3928	3333
541	3935	3325
542	3942	3317
543	3948	3309
544	3955	3302
545	3961	3294
546	3968	3286
547	3975	3278
548	3981	3270
549	3988	3263
550	3994	3255
551	4001	3247
552	4008	3239
553	4015	3232
554	4022	3225
555	4028	3217
556	4035	3209
557	4041	3201
558	4048	3194
559	4056	3187
560	4063	3179
561	4071	3173
562	4078	3166
563	4086	3159
564	4094	3152
565	4101	3145
566	4108	3137
567	4116	3130
568	4123	3123
569	4130	3115
570	4138	3109
571	4145	3101
572	4153	3094
573	4160	3087
574	4167	3080
575	4174	3073
576	4182	3066
577	4189	3058
578	4196	3051
579	4204	3044
580	4211	3037
581	4218	3030
582	4225	3022
583	4233	3015
584	4240	3008
585	4248	3001
586	4254	2993
587	4261	2986
588	4269	2979
589	4276	2971
590	4283	2964
